section,Model,Hardware,Bandwidth,Quality,Memory,Flash,SRAM,Latency,RTF,Power,Verdict
all_under_50mw,rnnoise_class_16k,Infineon PSoC Edge E84,16 kHz,acceptable,external,0.16 MiB,0.07 MiB,20 ms,0.02,9.11 mW,PASS
all_under_50mw,spectral_gate_only_16k,Infineon PSoC Edge E84,16 kHz,acceptable,external,0.05 MiB,0.05 MiB,32 ms,0.03,9.20 mW,PASS
all_under_50mw,mp_senet_micro_16k_target,Infineon PSoC Edge E84,16 kHz,acceptable,external,0.35 MiB,0.26 MiB,20 ms,0.04,9.67 mW,PASS
all_under_50mw,spectral_gate_only_16k,NXP i.MX RT700,16 kHz,acceptable,external,0.05 MiB,0.05 MiB,32 ms,0.05,10.42 mW,PASS
all_under_50mw,mp_senet_micro_16k_target,NXP i.MX RT700,16 kHz,acceptable,external,0.35 MiB,0.26 MiB,20 ms,0.06,10.79 mW,PASS
all_under_50mw,rnnoise_class_16k,STM32N6,16 kHz,acceptable,external,0.16 MiB,0.07 MiB,20 ms,0.01,11.93 mW,PASS
all_under_50mw,spectral_gate_only_16k,STM32N6,16 kHz,acceptable,external,0.05 MiB,0.05 MiB,32 ms,0.01,12.40 mW,PASS
all_under_50mw,rnnoise_class_16k,NXP i.MX RT700,16 kHz,acceptable,external,0.16 MiB,0.07 MiB,20 ms,0.10,12.64 mW,PASS
all_under_50mw,mp_senet_micro_16k_target,STM32N6,16 kHz,acceptable,external,0.35 MiB,0.26 MiB,20 ms,0.02,12.90 mW,PASS
all_under_50mw,mp_senet_micro_8k_target,Infineon PSoC Edge E84,8 kHz,acceptable,external,0.27 MiB,0.18 MiB,20 ms,0.02,8.81 mW,PASS
all_under_50mw,percepnet_class_8k,Infineon PSoC Edge E84,8 kHz,acceptable,external,0.27 MiB,0.10 MiB,20 ms,0.02,9.10 mW,PASS
all_under_50mw,mp_senet_micro_8k_target,NXP i.MX RT700,8 kHz,acceptable,external,0.27 MiB,0.18 MiB,20 ms,0.04,9.57 mW,PASS
all_under_50mw,mp_senet_micro_8k_target,STM32N6,8 kHz,acceptable,external,0.27 MiB,0.18 MiB,20 ms,0.01,11.39 mW,PASS
all_under_50mw,percepnet_class_8k,STM32N6,8 kHz,acceptable,external,0.27 MiB,0.10 MiB,20 ms,0.01,11.81 mW,PASS
all_under_50mw,percepnet_class_8k,NXP i.MX RT700,8 kHz,acceptable,external,0.27 MiB,0.10 MiB,20 ms,0.11,12.64 mW,PASS
all_under_50mw,rnnoise_class_8k,Infineon PSoC Edge E84,8 kHz,degraded,external,0.14 MiB,0.04 MiB,20 ms,0.01,8.56 mW,PASS
